Sentence,Words,POS,Tag
,deretappe ,PD,O
,ekettida ,NC,O
,doorettida ,VC,O
,loseti,PI,O
,ggigidaysi,PPP,O
,qonccides,VC,O
,.,PUN,O
Sentence: 7,Loohiso ,PD,O
,beettidaytappe ,PC,O
,issi,NC,O
, issati ,PI,O
,immida ,PPP,O
,qofan ,NZ,O
,timirtte ,AD,O
,geeshshatetha,PD,O
,naagisoninne,PI,O
,eratethaninne,PI,O
, hiillohan,PPP,O
,giiga,NC,O
, tamaare,VC,O
, ayfissanaas ,AJP,O
,ootho ,NC,O
,fiqaadera ,PI,O
,dizaytan ,PC,O
,tamaarana ,PDAD,O
,mala ,PPP,O
,dhoqqa ,AJP,O
,maadoy,PI,O
, dizaysa,VC,O
, yootida ,PD,O
,.,PUN,O
Sentence: 8,Loohison,NC,O
, gaammo ,NN,I-LOC
,goofappe,NN,I-LOC
,", ",pun,O
,segene ,NN,O
,heera ,PD,O
,dereta ,PI,O
,zoonetappenne ,NN,I-LOC
,dugeha  ,NP,I-LOC
,oomo ,NP,I-LOC
,zooneppenne  ,NN,I-LOC
,woreda ,NN,I-LOC
,timirtte,NZ,O
, oothanchati,PPP,O
, beettidaysi,AJP,O
, erettides,NC,O
, Gishie ,PPP,O
,doe  ,NN,I-PER
,Haskew,NP,I-PER
, Kellies  ,NP,I-PER
,gaththides,VP,O
,.,PUN,O
Sentence: 9,Daramaalo,NN,B-LOC
, woradan,NN,I-LOC
, waacca,NN,I-LOC
, katamman,NN,I-LOC
,geeshsha,PI,O
, haathe,NN,O
, metoy,PC,O
, dizaysa ,PD,O
,Latamu,AD,O
,litro,NP,O
,jarkkane,NN,O
,haathe ,NN,O
,tammu ,PPP,O
,biran,NN,O
,shammidi ,PC,O
,go'etethan ,NZ,O
,dizaysa,PPP,O
,kataman ,PI,O
,dizayti ,AD,O
,qonccissida ,NN,O
,.,PUN,O
Sentence: 10,Meto,AJP,O
,medhettiday,NZ,O
, xomppe ,PD,O
,qanxeretetha ,AD,O
,gaasson ,PI,O
,gididaysas ,PPP,O
,xomppe ,PC,O
,wolqqan ,NC,O
,ooththizaysi ,VC,O
,haathe ,VC,O
,jeneretere ,AD,O
,wolqqan ,PD,O
,yafaray,PPP,O
, laamettana,PI,O
, mala,NC,O
, giigidaysa ,NZ,O
,woreda ,NN,O
,ayso ,PPP,O
,aaway ,PI,O
,malatida,VP,O
,.,PUN,O
Sentence: 11,Waacca ,NN,B-LOC
,katama ,NN,I-LOC
,ushsha,PC,O
, haathe ,NN,O
,shiisho ,PD,O
,metoy ,PPP,O
,dizayssas,AD,O
, aginan ,NC,O
,Hezappe ,PI,O
,daronta ,NC,O
,bombaa ,NZ,O
,haathe ,AJP,O
,demmizaysa ,PPP,O
,yootizati,PI,O
, mishshiro,NN,I-PER
, Meselech ,NN,I-PER
, Maatiwos,NN,I-PER
,deeththa,AJP,O
, laammanaas ,PPP,O
,quma,NZ,O
,giigiso ,NZ,O
,ootho ,PI,O
,bolla ,PD,O
,ooththikoka ,AD,O
,demmiza ,VC,O
,bira,NN,O
,haathes,PI,O
,kessos,PD,O
,gakkidaysa ,NZ,O
,erissida,VP,O
,.,PUN,O
Sentence: 12,Latamu,PPP,O
, litro,AD,O
, jarkane ,NN,O
,haathe,NN,O
,tamu,PI,O
,biran ,NN,O
,shammidi ,VC,O
,go'etethan ,VC,O
,dizaysa ,NC,O
,yootizayti,PD,O
, hotele,AD,O
, ootho ,AD,O
,bolla ,AD,O
,oththizayti ,AD,O
,daanna ,AD,O
,Anza ,AD,O
,Asfay ,AD,O
,giya ,AD,O
,wode ,AD,O
,yaalatas ,AD,O
,haathe ,AD,O
,shiishshanaas ,AD,O
,na'u _sha'a,AD,O
, bira,AD,O
, kessizaysa ,VC,O
,qonccissida,VP,O
,.,PUN,O
Sentence: 13,Geeshsha ,VC,O
,ushsha ,PD,O
,haathey ,NN,O
,kataman ,NN,O
,donttaysas,PI,O
, tamaareta ,NN,O
,timirtte ,NN,O
,wode,VC,O
, bollanne ,VC,O
,buza'aninne ,VC,O
,heera,VC,O
, geeshshatetha ,VC,O
,oyththa,VC,O
, bolla ,VC,O
,dhoqqa,VC,O
, metoy ,VC,O
,medhettidaysa ,VC,O
,mishshiro ,NN,I-PER
,Ribka,NN,I-PER
,Injay,NN,I-PER
, Malatida,AJP,O
,.,PUN,O
Sentence: 14,Woredan ,NP,B-LOC
, gezze ,NP,I-LOC
, qabaletan ,NP,I-ORG
,diza ,AD,O
,dere ,NZ,O
,asa ,PC,O
,kifileti,NN,O
, pultto ,NN,O
,haathe ,NN,O
,go'ettishin ,PC,O
,gadha,PD,I-LOC
,qabaletan ,NZ,I-ORG
,diza ,VC,O
,dere-assay ,AD,O
,kushe ,PPP,O
,pomppen ,PI,O
,ooththiza ,PC,O
,olla ,NN,O
,haathe ,NN,O
,ushshas ,VC,O
,go'ettizaysa,NZ,O
, Daramalo,NN,I-LOC
, woreda,NN,I-LOC
,haathe ,PPP,O
,ma'idinenne ,PC,O
,inerje,NC,O
, xiiffate,NN,I-ORG
,keethan,NN,I-ORG
,haathe ,PC,O
,haaronne ,AD,O
,xinaate ,PD,O
,ayso ,PI,O
,ootho,AJP,O
, kaaleththizayti,NZ,O
, Daanna ,NN,I-PER
, Dawit,NN,I-PER
,Hayley ,NN,I-PER
,qonccissida,VP,O
,.  ,PUN,O
Sentence: 15,Woreda ,NN,I-ORG
, haathe ,NN,O
,kamay ,VC,O
,hezutama,VC,O
, xeetupe ,VC,O
,gakkidaysa ,VC,O
,qonccissida,VC,O
,. ,PUN,O
Sentence: 16,Waacca,NN,B-LOC
, kataman,NN,I-LOC
, haathe ,NN,O
,go'ettizayta ,PD,O
,taybo ,PI,O
,haathe ,NN,O
,shiishora ,NZ,O
,geedarishin ,PC,O
,gidonttaysas ,AJP,O
,shiisho ,PI,O
,meto,PPP,O
, medhettidaysa ,AJP,O
,yootidayti ,NZ,O
,daanna,NN,I-PER
,Dawitey ,NN,I-PER
,hayssape ,PC,O
,sinthe ,PI,O
,aaho ,PPP,O
,katama,VC,O
, dere ,VC,O
,assa ,VC,O
,haathe ,VC,O
,koshsha ,VC,O
,kunththiza,VC,O
, haathe,VC,O
, yafara ,VC,O
,oge ,VC,O
,ootho ,VC,O
,gaasson,VC,O
, qanxxettidaysas,PC,O
, go'appe,PC,O
, kare ,PC,O
,gididaysas ,PC,O
,dere-assay ,PC,O
,metos,PPP,O
, gakkidaysa,NZ,O
, malatida,PC,O
,.,pun,O
Sentence: 17,Worada,NN,B-LOC
,ayso,VC,O
, aaway ,NN,O
,daanna,NP,I-PER
,Gezahegn ,NN,I-PER
,Gamoy ,NN,I-PER
,dhdhoqa ,VC,O
,ushsha,VC,O
, haathe ,VC,O
,shiisho ,VC,O
,metoy ,VC,O
,medhettana ,VC,O
,danda'iday,VC,O
, xomppe ,VC,O
,qanxeretetha ,VC,O
,meto ,VC,O
,gididaysas ,VC,O
,ha'i ,VC,O
,xomppe ,VC,O
,wolqqan,VC,O
, ooththiza ,VC,O
,haatha ,VC,O
,jeneretere,VC,O
, wolqqan ,VC,O
,oothanaas,VC,O
, giigethan,VC,O
, doos,VC,O
, gida ,VC,O
,oda,NP,I-PER
,Mengistu ,NN,I-PER
,Tarikuy,NN,I-PER
,gaththides,VP,O
,. ,pun,O
Sentence: 18,Macca ,NN,O
,tamaareti ,NN,O
,be ,AJP,O
,timirtten ,AJP,O
,adefara ,AJP,O
,ginalo'o ,AJP,O
,muuruta ,AJP,O
,ehan ,AJP,O
,amala ,AJP,O
,dumma ,AJP,O
,maadoy,AJP,O
, timirtte ,AJP,O
,keethan ,AJP,I-ORG
,oothettizaysa,AJP,O
, konso ,NN,I-LOC
,woradan,NN,I-LOC
, karaat ,NN,I-LOC
,deeththanne  ,NN,I-ORG
,giigetetha  ,NZ,I-ORG
,timirtte-keetha,NN,I-ORG
, macca tamaareti ,PC,O
,qonccissida,PD,O
,. ,pun,O
Sentence: 19,Timirtte,AJP,O
,keethay ,AJP,O
,maccata ,AJP,O
,abbesanaas,AJP,O
, dethan ,AJP,O
,shaakkidi,AJP,O
, duuma ,AJP,O
,maado ,AJP,O
,oothon ,AJP,O
,dizaysa ,AJP,O
,qonccissides ,VP,O
,.,pun,O
Sentence: 20,Karaat ,NN,B-LOC
,deeththanne ,NN,I-ORG
,giigetetha,NN,O
, timirtte ,NN,O
,keethay,AJ,O
,hayssape ,NZ,O
,sinthe ,VV,O
,daro ,VV,O
,macca ,NN,O
,tamaareti ,NN,O
,dhoqa ,AJ,O
,timirtte ,NZ,O
,eqotas ,VV,O
,gaththidaysa,NP,O
, gidishin,NP,O
, halaytha,NC,O
, timirten ,NN,O
,macca ,NN,O
,tamaretti ,NN,O
,addetara ,PU,O
,gina,PU,O
, ooththanas ,NN,O
,xetappe,NN,O
,bollara ,AJ,O
,ekkidi ,NZ,O
,tamarson ,VV,O
,dizaysa ,VV,O
,qoodimaagati,AD,O
, bessettes,VP,O
,. ,VC,O
Sentence: 21,Timirtte,PPP,O
, keethan ,NN,O
,nuhaasa'issida ,NZ,O
,maca ,NN,O
,tamaaretappe ,PPP,O
,tamunthotho-kifile,PI,O
,tamaare ,PC,O
,Zenebech ,NN,I-PER
,Sintayehu,NN,I-PER
, issiniyoko ,VC,O
,.,pun,O
Sentence: 22,Tamaariyaka,NN,O
, Timirtte,VC,O
, keethan,NN,I-ORG
,astamaareti ,NP,O
,macca,NN,O
, tamaareta ,NN,O
,hara ,NN,O
,fereqan ,AJ,O
,xeysidi ,NZ,O
,maado ,VV,O
,oothon,VV,O
, lo'o ,NN,O
,muuruta ,NN,O
,ehanaas ,AJ,O
,maaddizaysa,NZ,O
, qonccissadus,VV,O
,.,NP,O
Sentence: 23,Hara ,NP,O
,tamuntho,NC,O
,kifile ,NN,O
,tamaare  ,NN,I-PER
,Tarikuwa ,NN,I-PER
,Terefey ,PU,I-PER
,be ,PU,O
,Timirtte ,NN,O
,keethan ,NN,O
,macca ,AJ,O
,tamaaretas,NZ,O
, maado ,VV,O
,oothanaas ,VV,O
,astamaareti ,NN,O
,Timirtte,NN,O
, keethan,AJ,I-ORG
, shaakettidi ,NZ,O
,guxxes,VV,O
, gishin ,NP,O
,saamintan,NP,O
,nam'u,NC,O
,gallassa ,NN,O
,miniso,NN,O
,/,NN,O
,guja,PU,O
, timirtte ,NN,O
,imon ,NN,O
,addetara ,NN,O
,gina ,AJ,O
,muuruta ,NZ,O
,ehanaas ,VV,O
,maadon ,VV,O
,deettes,NN,O
, gadus,NN,O
,. ,AJ,O
Sentence: 24,Timirtte ,NZ,O
,keethan,VV,I-ORG
,akkadamike ,NP,O
,wudeta,NP,O
, kaalo,NC,O
, kaappo ,NN,O
,kuse ,NN,O
,ciloy ,NN,O
,Timirtte,NN,O
, keethay ,NN,O
,maca,AJ,O
, tamaareti ,NZ,O
,lo'o ,VV,O
,muuruta ,VV,O
,ehana ,NN,O
,mala ,NN,O
,oothettidayssas ,AJ,O
,hospuntama,NZ,O
,xeetuppe,VV,O
, ehidi ,NP,O
,nam'antho,NP,O
,kifilen,NN,O
, tamaariza,NNP,O
, macca ,NN,O
,tamaareta ,NN,O
,gididaysa,NNP,O
, erissida ,PPP,O
,gishe,PI,O
, oda   ,NN,I-PER
,Abebe  ,NN,I-PER
,Daabay ,NN,I-PER
, gaththides,VP,O
,.,NN,O
Sentence: 25,Eretetha ,NN,O
,guuxora ,AJ,O
,oykettida ,NZ,O
,metoti,VV,O
, birshshettontayssas ,VV,O
,daramaalo ,NN,I-LOC
, woreda ,NN,I-LOC
,oomo,AJ,I-ORG
,maykirofaynanse,NZ,I-ORG
, tashe ,VV,O
,xiffate,NP,O
, keethay,NP,I-ORG
,halayti,NC,O
,wuri,NN,O
,aadhdhida ,NN,O
,udufun,NN,O
,aginan ,PU,O
,qaaxettida ,PU,O
,gina ,NN,O
,muurta,NN,O
, mazgabiso ,AJ,O
,danda'ontaysa ,NZ,O
,erissides,VV,O
,. ,VV,O
,Hayssan ,NN,O
,adhshida ,NN,O
,udufun,AJ,O
,aginan,NZ,O
, eqotay ,VV,O
,gaggason ,NP,O
,gido,NP,O
, tal'e ,NC,O
,imon ,NN,O
,ziqqa ,NN,O
,ootho ,NN,O
,mazgabissikoka ,PU,O
,attida ,NN,O
,aginan,NN,O
, giigissi ,NN,O
,oothanaas,AJ,O
, qaanxon ,NZ,O
,dizaysi,VV,O
, malatettides,VV,O
,.,NN,O
Sentence: 26,Eqotay ,NN,O
,Ziqqa ,AJ,O
,ikkonoome,NZ,O
, detha ,VV,O
,bolla ,NP,O
,diza ,NP,O
,dere ,NC,O
,asa ,NN,O
, kifiletas ,NN,O
,tal'e,NN,O
, injeson ,NN,O
,dumma ,NN,O
,dumma ,AJ,O
,ootho ,NZ,O
,macaratan ,VV,O
,oththidi,VV,O
, go'ettana ,NN,O
,mala ,NN,O
,ooththidaysan,AJ,O
, daro ,NZ,O
,dere,VV,O
, kifileta ,PPP,O
,deththa,NN,O
, laameto,NN,O
, dan'idaysa ,AJ,O
,eqotappe ,NZ,O
,demmida ,VV,O
,qoodimaagay ,VV,O
,besses,NN,O
,.,NN,O
Sentence: 27,Hayssappe ,AJ,O
,dendidi ,NZ,O
,eqotay,VV,O
,halaytan,NP,O
,M.L ,NP,O
,aadhdhida ,NC,O
,udufun,NN,O
,aginatan,NN,O
, dumma ,NN,O
,dumma ,PU,O
,yaameti ,PU,O
,oydu,NN,O
,cachcha,NN,O
,usupun,AJ,O
,miloone ,NZ,O
,bira ,VV,O
,gaggason,VV,O
,oydu,NN,O
,cachcha,NN,O
,hezzu,AJ,O
, bira ,NZ,O
,tal'e ,VV,O
,immidaysa,NP,O
, Daramalo ,NP,I-LOC
,woreda,NC,I-LOC
,oomo,NN,I-LOC
, maykiro,NN,I-ORG
,faynanse,NN,I-ORG
, tashe ,PU,O
,ootho ,NN,O
,kaaleththizayti,NN,O
, daanna,NN,I-PER
,Messay,AJ,I-PER
,Meri'idey ,NZ,I-PER
,erissides,VV,O
,. ,VV,O
Sentence: 28,Gidikoka ,NN,O
,gaggasonne,NN,O
, tal'e ,AJ,O
,go'etetha ,NZ,O
,oothao ,VV,O
,poloy ,NP,O
,oyketida ,NP,O
,halchora ,NC,O
,geedarettishin ,NN,O
,ziqqa ,NN,O
,gididaysa ,NN,O
,ootho,NN,O
, kaaleththizayti,NN,O
, gujjida,AJ,O
,.,NZ,O
Sentence: 29,Tal'e ,VV,O
,zaaro ,VV,O
,ootho ,NN,O
,poloy,NN,O
, gaggasone,AJ,O
, imora ,NZ,O
,geederishin ,VV,O
,lo'o ,NP,O
,gididaysa ,NP,O
,yootidia ,NC,O
,ootho ,NN,O
,kaaleththizayti ,NN,O
,ha ,NN,O
,ziqqa ,PU,O
,ootho ,PU,O
,polos ,NN,O
,qofara ,NN,O
,oykettida,AJ,O
, metoti ,NZ,O
,birshshetontaysas ,VV,O
,attida ,VV,O
,aginan ,NN,O
,halchcho,NN,O
, giigissidi,AJ,O
, oothanaysa ,NZ,O
,malatidi ,VV,O
,woradan,NP,O
, diza,NP,O
, interprayzetape ,NC,O
,Warka,NN,O
, miththanne ,NN,O
,Marcco,NN,I-ORG
, ootho ,PU,I-ORG
,maabaranne ,NN,I-ORG
,kawo ,NN,O
,oothanchata ,NN,O
,sukkarenne ,AJ,O
,zayte ,NZ,O
,bayzizayta ,VV,O
,mabaray,VV,O
, gaggasidi ,NN,O
,tal'e ,NN,O
,go'a ,AJ,O
,demon ,NZ,O
,oothidi ,VV,O
,be ,NP,O
,deeththa ,NP,O
,bolla ,NC,O
,lame ,NN,O
,ehidaysa ,NN,O
,qonccissida ,NN,O
,gishe ,VC,O
,oda,NN,I-PER
,Mengistu,NN,I-PER
,Tarikuy ,AJ,I-PER
, Gaththides,NZ,O
,.,VV,O
Sentence: 30,Fitihe ,VV,O
,eqotati ,NN,O
,issi ,NN,O
,bolla ,AJ,O
,ootho,NZ,O
, ehon ,VV,O
,maccaanne ,NP,O
,qeeri ,NP,O
,nayta ,NC,O
,bolla ,NN,O
,polettiza ,NN,O
,qohata ,NN,O
,teqqanaas,PU,O
, dumma ,PU,O
,dumma ,NN,O
,oothota ,NN,O
,oothon ,AJ,O
,dizaysa ,NZ,O
,Arba Mince  ,VV,I-LOC
,Katama,VV,I-LOC
,ayso ,NN,O
,aqqabe,NN,O
, higge ,AJ,O
,xiffate,NZ,I-ORG
, keethay  ,VV,I-ORG
,qonccissides,NP,O
,. ,pun,O
Sentence: 31,Maccatanne ,NN,O
,qeeri ,NN,O
,nayta ,AJ,O
, bolla ,NZ,O
,gakiza ,VV,O
,qohata ,VV,O
,bolla ,NN,O
,medhettiza,NN,O
, dabata ,AJ,O
,mirmera ,NZ,O
,geshatethay ,VV,O
,hara ,NP,O
,wodepe,NP,O
, issi ,NC,O
,bolla ,NN,O
,oothon ,NN,O
,dizaysa ,NN,O
,Arba Mince,NN,I-LOC
,Katama,NN,I-LOC
,ayso ,PI,O
,aqqabe,PI,O
, higge ,PI,O
,xiffate,NN,I-ORG
, keetha,NN,I-ORG
,kaappoy ,NP,I-PER
, daanna,NP,I-PER
,Gebeyehu ,NN,I-PER
, Xaaray ,NN,I-PER
,yotida,VP,O
,.,pun,O
Sentence: 32,Ootho,AJP,O
, lame ,PPP,O
,ehanaas ,PI,O
,oothettizaysan ,NN,O
,go'a,NN,O
, imoy ,AJ,O
,laamettidi ,NZ,O
,yiikoka,VV,O
, kaallizaysan ,VV,O
,eeson ,NN,O
,gakkiza ,NN,O
,fitihe ,AJ,O
,qonccisson ,NZ,O
,beettiza ,VV,O
,paceta ,NP,O
,kuntho ,NP,O
,hanota ,NC,O
,ootho ,NN,O
,bolla ,NN,O
,peyshanaas ,NN,O
,ooththizaysa,PU,O
, kaappoy ,NN,I-PER
, erissida,NP,O
,. ,pun,O
Sentence: 33,Kaallizayssan ,AJP,O
,fitihe ,VC,O
,eqotati ,NZ,O
,gelththiza ,PC,O
,kifiletara ,VP,O
,minora ,AD,O
,issi ,AD,O
,bolla ,AD,O
,ootho ,AD,O
,medhoy ,AD,O
,koshshizaysa ,AD,O
,qonccissida,VP,O
,.,pun,O
Sentence: 34,Maccatanee ,VC,O
,qeeri ,PD,O
,nayta ,AC,O
,bolla ,AD,O
,gakiza ,NN,O
,daba ,NN,O
,qohata ,AJ,O
,firde ,NZ,O
,keethay ,VV,O
,wudettidi,VV,O
, qaaxxiza ,NN,O
,wudatappe ,NN,O
,issia ,AJ,O
,gididaysa ,NZ,O
,qonccissidayti ,VV,O
,Arba Mince ,NN,I-LOC
,Katama,NN,I-LOC
,koyro ,PI,O
,detha,PPP,O
, firde ,NN,I-ORG
,keetha,NN,I-PER
,prezidantey,AJ,I-PER
, daanna,NZ,I-PER
, Alemayehu ,VV,I-PER
, Altayey,VV,I-PER
,ha'i wode ,NN,O
,teknolooje ,NN,O
,go'ettidi,AJ,O
, qoodimaaga ,NZ,O
,oyththa ,VV,O
,woga ,NP,O
,ha'i ,NP,O
,wodeysa ,NC,O
,oothon ,NN,O
,dizaysa ,NN,O
,yootida ,NN,O
,.,PU,O
Sentence: 35,Firde ,PU,B-ORG
,keethay,NN,I-ORG
, fitabere,NN,O
,wudeta ,AJ,O
,addape ,NZ,O
,soo ,VV,O
,asara ,VV,O
,oykettidi ,NN,O
,medhetiza ,NN,O
,metota ,AJ,O
,shilota,NZ,O
, shaakkidi ,VV,O
,eqon ,NP,O
,oothon ,NP,O
,dizaysa,NC,O
, prezidantey ,NN,I-PER
,qonccissidi,NN,O
, wussane ,NN,O
,gam'oy,PU,O
, medhettonta ,NN,O
,mala,NN,O
, wudettidi ,NN,O
,ooththizaysa ,AJ,O
,yootida ,NZ,O
,gishe ,VV,O
,oda ,VV,O
,Arba Mince,NN,I-LOC
,Katama,NN,I-LOC
, ayso ,AJ,O
,dere ,NZ,O
,asa ,VV,O
,gaageteththa ,NP,O
,xiffate ,NP,I-ORG
,keethay ,NC,I-ORG
,gaththides,NN,O
,.,NN,O
Sentence: 36,Dara-Maalo  ,NN,B-LOC
,woradan,NN,B-LOC
, higgeppe ,NN,O
,kare ,AJ,O
,gidida ,NZ,O
,zal'e ,VV,O
,kaaloy ,VV,O
,minni ,NN,O
,bizayssa ,NN,O
,woreda,AJ,O
,zal'enne,NZ,O
, industure,VV,I-ORG
, xifate,NP,I-ORG
, keethay,NP,I-ORG
,errissides,NC,O
,. ,NN,O
Sentence: 37,Worada,NN,B-LOC
,zal'nne ,NN,O
,industure,PU,I-ORG
, xifate ,NN,I-ORG
,keetha,NN,I-ORG
, kaappoy,AJ,O
,daanna,NZ,I-PER
, Alamusa,VV,I-PER
,Adasoy ,VV,I-PER
,qonccissida ,NN,O
,mala ,NN,O
,higgeppe ,AJ,O
,kare ,NZ,O
,gidida ,VV,O
,zal'ey ,NP,O
,dere ,NP,O
,ikkonoome ,NC,O
,gilqissizayssanne ,NN,O
,duge ,NN,O
,woththizaytappe ,NN,O
,shammiza ,PU,O
,dere ,PU,O
,asati ,NN,O
,giiga ,NN,O
,gaten ,AJ,O
,gido ,NZ,O
,geeshsha ,VV,O
,miishsheta,VV,O
, demmi ,NN,O
,shammintta,NN,O
, mala ,AJ,O
,ooththizaysa,NZ,O
, yootida,VV,O
,.,NP,O
Sentence: 38,Woreda,NP,I-LOC
,higgeppe,NC,O
, kare ,NN,O
,gididayta ,NN,O
,kaallizayata,NN,O
, shiishshizayti ,PU,O
,wudura,NN,I-PER
,Tizita,NN,I-PER
,Abrahamey ,NN,I-PER
,yootida ,NN,O
,mala ,NN,O
,dumma ,AJ,O
,dumma ,NZ,O
,miishshetara ,VV,O
,walakettida ,VV,O
,murutata ,NN,O
,giya,NN,O
, ehidi ,AJ,O
,shammiza ,NZ,O
,dere ,VV,O
,asatassine,NP,O
, goshshanchatasm,NP,O
,", ",NC,O
,kataman ,NN,O
,dizaytas ,NN,O
,bayzon ,NN,O
,diza,PU,O
, zal'anchati ,PU,O
,dizaysa,NN,O
, yootida ,NN,O
,gides ,AJ,O
,.,NZ,O
Sentence: 39,Matoosi,VV,B-PER
, Xafida ,VV,O
,Maxafa,NN,O
,.,NN,O
Sentence: 40,Nu ,AJ,
,Goda ,NZ,B-PER
, Yesus ,VV,I-PER
,Kirstoosa ,NP,I-PER
,Mishiraachcho,NP,O
,Qaala ,NC,O
,Yesus,NN,I-PER
,Kirstoosa,NN,I-PER
,yeletta ,NN,O
,zarke,PU,O
,.,NN,O
Sentence: 41,Dawute,NN,B-PER
,naa,NN,O
,", ",AJ,O
,Abrahaame,NZ,I-PER
,naa ,VV,O
,gidida ,VV,O
,Yesus ,NN,I-PER
,Kirstoosa ,NN,I-PER
,yeletetha,AJ,O
, zarkey ,NZ,O
,hayssafe,VV,O
, kaallizayssa,NP,O
,;,pun,O
Sentence: 42,Abrahaamey ,NN,B-PER
,Yisaaqa,NN,I-PER
,yelides,VP,O
,; ,pun,O
Sentence: 43,Yisaaqi,NN,B-PER
, Yaqoobe,NN,I-PER
,yelides,VP,O
,; ,pun,O
Sentence: 44,Yaqoobey ,NN,B-PER
,Yuhudanne,NN,I-PER
,iza ishata,NN,I-PER
, yelides,NN,O
,; ,pun,O
Sentence: 45, Yuhuday,NN,B-PER
,Timaarippe,NN,I-PER
, Faareesanne,NN,I-PER
,  Zaara,NN,I-PER
,yelides,VP,O
,;,pun,O
Sentence: 46,Faareesay,NN,B-PER
, Esroome,NN,I-PER
,yelides,VP,O
,;,pun,O
Sentence: 47, Esroomey,NN,B-PER
,Araame,NN,I-PER
, yelides,NN,O
,; ,AJ,O
Sentence: 48, Araamey ,NZ,B-PER
, Aminadabe  ,VV,I-PER
,yelides,VV,O
,; ,NN,O
,Aminadabey ,NN,B-PER
,Ne'asoney,AJ,I-PER
, yelides,NZ,O
,; ,VV,O
